,aspect_list
225,webcam
226,sales tax
227,software packages
228,iWork
229,GarageBand
230,iMovie
231,screen
232,colors
233,resolution
234,monitor
235,iTunes
236,Size
237,external monitor
238,base installation
239,software
240,manuf
241,camera
242,display
243,AMD Turin processor
244,Intel
245,warranty
246,start menu
247,navigate
248,bluray read/write drive
249,service tech
250,tech store
251,surface
252,screen
253,keyboard
254,iLife
255,Snow Leopard X
256,price tag
257,Mac OS
258,sound output quality
259,techie
260,use
261,Toshiba online help
262,service life
263,ports
264,processor
265,price
266,look
267,keyboard
268,keys
269,screen
270,quality
271,stock screen
272,gray color
273,volume buttons
274,processor
275,computing
276,protector
277,key pad
278,magnetic plug-in power charging power cord
279,XP
280,Vista
281,graphics
282,use
283,Mac OS
284,use
285,support
286,Geek Squad
287,graphics quality
288,Appleworks
289,browser
290,paint
291,keyboard
292,service department
293,warrenty
294,warrentys
295,hard disk
296,CD drive
297,running
298,screen size
299,web browsing
300,software
301,loads
302,trackpad
303,external mouse
304,trackpad
305,games
306,features
307,human interface
308,inbuilt applications
309,Software
310,body
311,i5
312,antivirus software
313,firewall
314,price
315,Apple team
316,Vista
317,Vista
318,operating system
319,Vista
320,video chat
321,quality
322,mouse
323,Fan
324,cooling pad
325,feature
326,software
327,installation time
328,power
329,storage
330,abilitiy
331,spotlight search
332,feature
333,wireless system
334,Windows 7
335,quality
336,battery life
337,speed
338,OS
339,OS
340,iTunes
341,program
342,gaming
343,battery
344,Apple support
345,techs
346,adding the bluetooth
347,graphic power
348,Adobe Creative apps
349,programs
350,use
351,materials
352,software
353,Tech support
354,power supply
355,POWER SUPPLY
356,size
357,warranty
358,Windows XP SP2
359,Windows 7 Ultimate
360,Bluetooth
361,Fingerprint reader
362,software
363,techs at HP
364,video card
365,graphics
366,security
367,audio
368,keyboard
369,runs
370,set up
371,screen
372,word processing
373,internet
374,trackpad
375,battery life
376,spec
377,HD
378,graphics chip
379,components
380,DVD burner
381,USB ports
382,software
383,system
384,ran
385,price
386,operation
387,brand
388,components
389,ground loop isolator
390,price range
391,quality
392,warranty
393,leading edge
394,bloatware
395,Maximum sound
396,windows 7
397,Bootcamp
398,price
399,action pack games
400,works
401,price
402,performance
403,twin packing
404,functions
405,after sales support
406,look
407,display screen
408,acer arcade
409,customer support
410,screen
411,cd drive
412,runs
413,design
414,size
415,games
416,games
417,life
418,warranty
419,pad
420,value
421,price
422,system performance
423,linux based os
424,use
425,batteries
426,shipping carton
427,use
428,program
429,virus protection
430,screen
431,processor
432,OSX 16
433,graphics
434,hardware
435,software
436,Intel Core processors
437,HDMI port
438,Internet Explorer
439,staff
440,price premium
441,features
442,product and help aftermarket
443,Microsoft word
444,usb ports
445,sd memory card reader
446,sd memory car expansion
447,LaCie 2Big external drive
448,firewire 800 interface
449,Time Machine
450,sound
451,extra features
452,windows 7 home premium
453,Acer screen
454,USB port
455,boot
456,battery life
457,fires up
458,keyboard
459,software
460,online tutorial videos
461,image
462,soud
463,windows
464,boot up
465,shut down
466,windows
467,Mac OS
468,use
469,cost
470,Windows 7 Starter
471,Windows 7 Home Premium
472,Windows 7 Professional
473,specifications
474,power cords
475,multi-touch features
476,screen
477,clicking buttons
478,battery life
479,Windows
480,wired lan
481,hard reboot
482,hardware
483,hard drive
484,battery life
485,Apple care
486,font
487,Features
488,programs
489,run
490,plastic pieces
491,2GB RAM stick
492,Windows
493,Microsoft Word for Mac
494,WARRANTY COMPANY
495,cusromer service center
496,size
497,weight
498,battery
499,aluminum body
500,watching movies
501,playing
502,build quality
503,performance
504,dock
505,program
506,program
507,working
508,costing
509,price
510,i7
511,monitor
512,extended warranty
513,Boots up
514,runs
515,screen
516,driver
517,tech support
518,work
519,hard drive
520,twin packing
521,functions
522,warranty
523,performance
524,price
525,BIOS
526,design
527,tech issues
528,size
529,space
530,service
531,memory
532,speed
533,priced
534,internet speed
535,programs
536,Garageband
537,Photo Booth
538,iPhoto
539,iMovie
540,video-editing
541,movie-making
542,photo management
543,music
544,Pages
545,Numbers
546,Keynote
547,school or office use
548,screen
549,colors
550,value
551,price
552,value
553,web cam
554,burn cd's
555,17 inch screen
556,support
557,Bluetooth
558,Drivers/Applications DVD
559,Launch Manager
560,glass screen
561,switchable graphic card
562,gaming
563,service
564,battery life
565,technical support
566,BOOT MGR
567,recovery cd
568,price
569,features
570,Skype
571,mouse buttons
572,HDD
573,rails
574,hard drive
575,quality
576,staff
577,Games
578,GarageBand
579,warranty
580,hard drive
581,price
582,home use
583,business use
584,virus protection
585,updates
586,MS Office apps
587,feature
588,Windows
589,games
590,battery life
591,battery life
592,price
593,Nortons virus scan
594,frame
595,features
596,use
597,loaded
598,Windows 7
599,Vista
600,Vista
601,windows
602,Windows XP
603,Vista
604,key broad
605,warranty
606,"repair ""depot"""
607,school use
608,design
609,battery life
610,programs
611,Wireless
612,battery life
613,programs
614,trackpad
615,programs
616,navigating
617,speakers
618,subwoofer
619,built in camera
620,price
621,warranty
622,left mouse key
623,costed
624,speed
625,hard drive space
626,picture
627,extended warranty
628,extended warranties
629,battery
630,Screen
631,battery life
632,appearance
633,technical service for dell
634,graphics
635,warranty
636,battery
637,case
638,performance
639,price
640,look
641,applications
642,speed
643,tech support
644,gaming
645,use
646,Photoshop
647,system clock
648,RAM
649,securitysoftware
650,driver updates
651,Windows
652,work
653,works
654,HD
655,HD
656,graphics card
657,built in camera
658,DVD burner
659,DVD burner
660,works
661,15 inch
662,Product support
663,screen
664,use
665,casing of the power cord
666,internet signals
667,price
668,right speaker
669,price tag
670,software
671,updates
672,multiple page viewer
673,shipped
674,Keyboard
675,use
676,warranty
677,quality
678,features
679,recovery disk
680,features
681,programs
682,Office
683,Office programs
684,wifi
685,TYPING
686,screen
687,temp
688,Windows operating system
689,OS
690,processor speed
691,thunderbolt port
692,lcd screen
693,Images
694,windows vista
695,windows xp
696,Vista
697,Adobe Flash player
698,Internet Explore
699,Windows update
700,update
701,switch
702,switch
703,4GB stick of RAM
704,hardrive
705,touch control buttons
706,keyboard
707,performance
708,iLife software
709,iPhoto
710,iMovie
711,iWeb
712,iTunes
713,GarageBand
714,runs
715,system board
716,size
717,software
718,hardware
719,memory
720,hard drive
721,graphics
722,programs
723,navigation
724,hinge
725,LCD
726,DELL Customer Service
727,RMA service
728,Design
729,keyboard
730,battery life
731,screen/video resolution
732,resolution
733,applications
734,Dreamweaver
735,Final Cut Pro 7
736,Photoshop
737,Safari
738,Firefox
739,MSN Messenger
740,warrenty
741,tech support
742,Apple applications
743,iPhoto
744,gigs
745,memory
746,17-inch screen
747,DVD
748,CD burners
749,web browsing
750,uploading photos
751,watching movies
752,creating presentations
753,Quality Display
754,weight
755,12 cell battery
756,case
757,power adapter plug
758,features
759,speakers
760,screen
761,TAB
762,extended warrenty
763,TFT panel
764,Navigation
765,Windows operating systems
766,screen
767,screen size
768,bulk
769,music software
770,software
771,picture
772,video
773,combined touch pad and clicker
774,Unibody construction
775,value
776,Windows
777,screen hinges
778,BATTERY
779,STORAGE LIFE
780,SERVICE
781,storage
782,ram
783,Nvidia chipset
784,extended warranty
785,Programs
786,CHARGE TIME
787,size
788,consistancy
789,key bindings
790,Keyboard
791,size
792,10-key
793,Fan
794,fan
795,screen
796,operating system
797,processor
798,500gb hard drive
799,feature
800,tech support
801,USB output
802,wireless mouse
803,size
804,screen
805,Windows
806,Linux
807,windows disc
808,quality
809,touchpad
810,video card
811,touch pad
812,external mouse
813,set up
814,video
815,value
816,hard drive
817,runs
818,loads
819,warranty
820,program
821,disk throughput
822,spinning beachball
823,wireless internet access
824,value
825,ran
826,battery
827,company
828,screen resolutions
829,carry
830,keyboard
831,edges
832,programs
833,ILife
834,iPhotos
835,processor
836,fan
837,motherboard
838,built
839,performance
840,screen resolution
841,Snow Leopard
842,CPU
843,Office Mac applications
844,Word
845,Excel
846,spinning wheel
847,pad
848,keyboard
849,screen
850,Windows 7
851,programs
852,iLife
853,iWork
854,"18.4"" screen"
855,battery life
856,regular layout keyboard
857,Runs
858,programs
859,windows
860,recovery discs
861,Windows 7 Starter
862,Support
863,3 year warranty
864,online chat service
865,iPhoto
866,works
867,battery
868,quality
869,VHS
870,use
871,navigate
872,battery life
873,battery
874,USB ports
875,battery
876,design
877,quality
878,Mac version of Microsoft Office
879,starting-up time
880,operates
881,touch pad
882,touch pad
883,pictures
884,transporting
885,gaming
886,network capability
887,wifi card
888,printer
889,use
890,OS X
891,repair service
892,customer service agents
893,Photoshop
894,AfterEffects programs
895,runs
896,warrenty
897,look
898,dependability
899,company
900,warranty
901,features
902,mouse button
903,performance
904,touchpad
905,buttons
906,programs
907,space
908,keyboard
909,battery
910,keyboard
911,battery life
912,hard drive
913,windows 7
914,processor
915,applications
916,load
917,webpages
918,battery
919,boot
920,Windows
921,runs
922,OpenOffice
923,Firefox
924,price
925,quality
926,performance
927,battery life
928,use
929,PRODUCT KEY
930,specs
931,bluetooth
932,feature
933,one touch keys
934,battery life
935,keyboard
936,speed
937,specs
938,price
939,Delivery
940,stability
941,Mac software
942,operating system
943,SATA controller
944,video editing
945,performance
946,mobile video editing
947,imovie program
948,processor
949,ram
950,battery
951,price
952,designed
953,warranty
954,bluetooth mouse
955,features
956,Keyboard
957,control buttons
958,Screen
959,motherboard
960,motherboard
961,Processor
962,performance
963,motherboard
964,patches
965,speed
966,system memory
967,radeon 5850
968,DDR5
969,DDR3
970,programs
971,programs
972,speed
973,size
974,OS (Vista)
975,software
976,battery life
977,battery life
978,extended warranty
979,features
980,programs
981,use
982,pop up windows
983,web programming software
984,pop ups
985,Memory
986,3G network
987,Web access
988,screen
989,design based programs
990,Adobe Creative Suite
991,companies
992,customer service
993,plug
994,HDD cover
995,applications
996,design
997,keyboard
998,iphoto
999,program
1000,screen
1001,Spy ware
1002,Nortell
1003,videocard
1004,price
1005,drivers
1006,speakers
1007,keyboard
1008,use
1009,Setting
1010,screen size
1011,pixel sizes
1012,pre installed software update
1013,customer services
1014,toshiba customer services
1015,space bar
1016,iPhotos
1017,program
1018,performing
1019,software
1020,software
1021,booting
1022,programs
1023,iphoto
1024,imail
1025,imovie
1026,software
1027,use
1028,transport
1029,repair depot
1030,price
1031,specs
1032,cd drive
1033,hard disk capacity
1034,Keys
1035,trackpad
1036,design
1037,OS
1038,shipping
1039,gaming look
1040,gaming performance
1041,hard drive
1042,cost
1043,volume control
1044,boot up
1045,shut down
1046,price
1047,internet connectivity
1048,USB wireless card
1049,sound
1050,cost
1051,discharges
1052,compatibility
1053,charging
1054,stand
1055,design
1056,heat sink
1057,Webcam
1058,trend micro
1059,antiviral program
1060,warrenty
1061,plastic piece
1062,usb port wires
1063,case design
1064,connection
1065,pricing
1066,built-in wireless
1067,screen size
1068,processing power
1069,applications
1070,screen
1071,programs
1072,graphics
1073,graphics
1074,Vista
1075,programs
1076,install
1077,uninstall 
1078,screen
1079,keyboard
1080,mouse
1081,noise
1082,IWORKS
1083,Itunes
1084,MS Office
1085,performance
1086,iWork
1087,software
1088,price
1089,BIOS
1090,Windows
1091,application
1092,OS X
1093,Boot Camp
1094,Windows
1095,mousepad
1096,Windows 7
1097,Applecare
1098,extended warranty
1099,windows
1100,programs
1101,cad programs
1102,bootcamp
1103,memory
1104,operation
1105,use
1106,tutorials
1107,mouse pad
1108,right click key
1109,battery
1110,full charge
1111,cordless mouse
1112,runs
1113,Toshiba tech support
1114,techs
1115,charged
1116,USB ports
1117,tech support
1118,online chat
1119,Keyboard
1120,color
1121,keyboard
1122,speaker grill
1123,buttons
1124,USB ports
1125,full service
1126,warranty
1127,letter A
1128,after sales service
1129,software
1130,works
1131,recovey disk
1132,recovery disk
1133,speed
1134,capacity
1135,build
1136,price
1137,iTunes
1138,portability
1139,battery life
1140,quality
1141,warranty service to Toshiba
1142,screens
1143,space
1144,downloads
1145,customer support
1146,LED backlit display
1147,aesthetics
1148,Runs
1149,screen size
1150,battery life
1151,graphics
1152,connect quality
1153,screen
1154,headphone
1155,mic jack
1156,touch-pad
1157,touch-pad
1158,headphones
1159,mic
1160,price
1161,warranty
1162,memory
1163,run
1164,works
1165,connection with the internet
1166,booting up
1167,shutting down
1168,battery life
1169,gaming
1170,hard drive
1171,mother board
1172,system
1173,OSX
1174,features
1175,use
1176,screen
1177,KEYS
1178,KEYBOARD
1179,KEYS
1180,Features
1181,Dashboard
1182,return policy
1183,battery
1184,portability
1185,affordability
1186,set up
1187,hook to my wireless network
1188,aluminum style
1189,specs
1190,nvidia 9800
1191,arm piece
1192,carry
1193,battery
1194,1-year-warranty
1195,word
1196,word processer
1197,keyboard
1198,battery
1199,hard disk
1200,battery
1201,battery
1202,performance specs
1203,features
1204,quality control
1205,touch-mouse
1206,numeric pad
1207,cover for the DVD drive
1208,construction quality
1209,arm velcro
1210,software
1211,LCD
1212,2 GB of RAM
1213,Windows 7
1214,programs
1215,battery life
1216,versitility
1217,Safari
1218,Vista
1219,program
1220,hinge design
1221,screen
1222,display
1223,browsers
1224,Runs
1225,Charger
1226,speakers
1227,screen graphics
1228,clarity
1229,sharpness
1230,customer support
1231,performance
1232,safety feature
1233,unibody design
1234,BOOTING UP
1235,one-year warranty
1236,cost
1237,charge
1238,battery
1239,software
1240,software
1241,price
1242,features
1243,services
1244,performance
1245,speed
1246,use
1247,Bluetooth 3
1248,warrenty
1249,fan blade
1250,internet connection
1251,external harddrives
1252,Windows 7 Starter
1253,functionality
1254,value
1255,simplicity
1256,look
1257,looking
1258,use
1259,Windows 7 Starter
1260,battery life
1261,battery
1262,programs
1263,keys
1264,look
1265,Windows
1266,mouse keys
1267,features
1268,use
1269,drivers
1270,Windows 7 Ultimate
1271,mute
1272,color reproduction
1273,warranty
1274,use
1275,start up
1276,features
1277,Sony 'Certified' technician
1278,proprietary software
1279,Apple Care plan
1280,cd drive
1281,video games
1282,programs
1283,processor
1284,memory
1285,hard drive
1286,web cam
1287,screen
1288,features
1289,battery
1290,graphics
1291,trial software
1292,battery life
1293,webcam
1294,Windows
1295,motherboard
1296,programs
1297,loads
1298,Graphics
1299,internet interfaces
1300,black keyboard
1301,service
1302,software options
1303,applications
1304,features
1305,functioning
1306,programs
1307,Office
1308,works
1309,service center
1310,port
1311,battery
1312,cooling system
1313,grafics card
1314,LED backlit screen
1315,8GB RAM
1316,instructions
1317,operation
1318,value
1319,built
1320,works
1321,Screen
1322,system
1323,cost
1324,cursor
1325,software
1326,operate
1327,gadgets
1328,Windows
1329,hard drive
1330,disk image
1331,track pad
1332,track pad
1333,disc drive
1334,drive
1335,drive
1336,Appleworks
1337,word processing program
1338,size
1339,Battery
1340,battery
1341,usage
1342,speaker grill
1343,MacOSX
1344,Windows 7
1345,dual-core
1346,quad-core
1347,"22"" Monitor"
1348,graphics
1349,programs
1350,Garageband
1351,default background
1352,Screen
1353,keyboard
1354,screen
1355,island backlit keyboard
1356,multi-touch mouse
1357,mouse
1358,OS
1359,Windows
1360,iWork
1361,programs
1362,Microsoft Office
1363,word processing
1364,spreadsheets
1365,presentations
1366,runs
1367,warranty
1368,built it web cam
1369,monitor
1370,performed
1371,navigate
1372,graphics cards
1373,bluray player
1374,book
1375,systems
1376,internet
1377,video card
1378,gaming
1379,media
1380,3 year warranty
1381,thermal paste
1382,internals
1383,customer support
1384,facial recognition
1385,windows logon
1386,Windows Vista
1387,online service
1388,recovery DVDs
1389,webcam
1390,keyboard
1391,carry
1392,display
1393,features
1394,performance
1395,display
1396,memory
1397,hard drive
1398,sound
1399,fans
1400,preformed
1401,system
1402,windows OS
1403,user interface
1404,warrenty
1405,iDVD
1406,program
1407,program
1408,hard drive
1409,battery
1410,screen
1411,works
1412,word processing
1413,surfing
1414,mouse pad
1415,buttons
1416,graphics
1417,play
1418,work
1419,Intel i processors
1420,edge
1421,edges
1422,sound quality via USB
1423,battery life
1424,warranty
1425,extended life battery
1426,operating system
1427,Windows XP drivers
1428,sound card
1429,Windows 7
1430,features
1431,budget
1432,motherboard
1433,Google Chrome
1434,speakers
1435,PRICE
1436,screen
1437,art aspect
1438,battery
1439,surfing
1440,pre-loaded Norton Firewall/Security program
1441,USB connect
1442,hard drive
1443,expense
1444,cd drive
1445,multi-touch trackpad
1446,extended warranties
1447,cost
1448,software
1449,performance
1450,System
1451,quality
1452,price
1453,use
1454,Apple keyboard
1455,PC's keyboard
1456,extended warranty
1457,RAM
1458,hard drive
1459,power cord
1460,battery
1461,power supply
1462,techies
1463,Sony Sonic Stage software
1464,speakers
1465,subwoofer
1466,extended life battery
1467,Docking port
1468,bluetooth mouse
1469,bluetooth enabled
1470,works
1471,Keynote
1472,Powerpoint program
1473,size
1474,size
1475,browser
1476,carry
1477,keyboard
1478,keyboard
1479,programs
1480,drivers
1481,space
1482,customer service rep
1483,genius bar staff
1484,fan
1485,boot up
1486,graphics
1487,non-dedicated graphics card
1488,Mouse Cable
1489,mouse
1490,RAM slots
1491,HDD Bays
1492,16GB RAM support
1493,Wireless
1494,ASUS TECH SUPPORT
1495,screen
1496,screen
1497,display
1498,mouse on the pad
1499,left button
1500,batteries
1501,battery life
1502,built in tools
1503,iTunes
1504,size
1505,quality
1506,price
1507,carry
1508,programs
1509,Leopard running system
1510,LG service center
1511,service center
1512,service
1513,Material
1514,Specs
1515,performs
1516,price
1517,photo booth
1518,operating system
1519,user interface
1520,multi-touch track pad
1521,Hard disk
1522,hard disk space
1523,internal hard disk
1524,connects to WIFI
1525,applications
1526,windows
1527,screen
1528,gaming
1529,space
1530,battery life
1531,charge
1532,power adapter
1533,price
1534,weight
1535,mainboard
1536,speed
1537,hard drive
1538,500gb external hard drive
1539,wireless card
1540,operating systems
1541,keys
1542,portability
1543,accessories
1544,warranty
1545,sound
1546,windows
1547,system
1548,size
1549,games
1550,playing games
1551,Windows
1552,equipment
1553,size
1554,build
1555,wt
1556,battery life
1557,quality
1558,Apple navigation
1559,apps
1560,hard drives
1561,battery
1562,built
1563,runs
1564,Sound card
1565,processing power
1566,battery life
1567,sized
1568,Vista
1569,keyboard
1570,desktop keyboard
1571,display
1572,mouse
1573,warranty
1574,keyboard
1575,keyboard
1576,battery life
1577,hard drives
1578,driver
1579,drivers/applications DVD
1580,repair depot
1581,repair depot
1582,Operating System
1583,motherboards
1584,costing
1585,AC plug
1586,Peformance
1587,price
1588,shipping
1589,BIOS
1590,ports
1591,OS
1592,use
1593,hard drives
1594,use
1595,MS Office
1596,shipping
1597,price
1598,budget
1599,power
1600,flexibility
1601,HDMI port
1602,S-video port
1603,speakers
1604,Battery
1605,surfing the web
1606,Iphoto
1607,Senior Tech
1608,volume wheel
1609,sound quality
1610,features
1611,price
1612,manual
1613,hard drive
1614,software
1615,sensitivity
1616,battery life
1617,battery
1618,battery life
1619,case
1620,core applications
1621,system
1622,charge
1623,cord
1624,hook up to other wireless networks
1625,shift key
1626,rep
1627,power
1628,speed
1629,programs
1630,iLife
1631,Microsoft Office
1632,portability
1633,longevity
1634,use
1635,motherboard
1636,fan
1637,charged
1638,price
1639,price
1640,keys
1641,standard os cd
1642,proprietary hardware drivers
1643,battery
1644,charge
1645,delivery
1646,programm
1647,performance
1648,battery life
1649,response
1650,Internet focused activity
1651,features
1652,charges
1653,size
1654,look
1655,feature
1656,charge
1657,iBook backup
1658,firewire connection
1659,camera
1660,specifications
1661,display
1662,repair depot
1663,keyboard shortcuts
1664,shortcuts
1665,RAM
1666,software
1667,windows media
1668,price
1669,warranty
1670,replacement charger
1671,windows system
1672,cursor
1673,mousepad
1674,features
1675,printer software
1676,power
1677,memory
1678,speed
1679,seventeen inch screen
1680,hinge
1681,shipping
1682,technician
1683,DC jack
1684,DC jack
1685,power brick
1686,screen quality
1687,use
1688,graphics
1689,use
1690,iLife software
1691,use
1692,built-in webcam
1693,service center
1694,Word
1695,Pages
1696,applications
1697,internet
1698,gaming
1699,"17"" inch screen"
1700,price-point
1701,appearance
1702,boots up
1703,runs
1704,specifications
1705,battery life
1706,screen
1707,price
1708,batteries
1709,price
1710,MOTHERBOARD
1711,speed
1712,retail price
1713,Microsoft Student Edition
1714,web browsing
1715,every day computing
1716,functions
1717,keys
1718,LED monitor
1719,mother board
1720,hard drive
1721,design
1722,battery
1723,charge
1724,memory
1725,gaming
1726,screen size
1727,tech support
1728,backlit keys
1729,screen
1730,Safari internet browser
1731,firefox
1732,use
1733,battery
1734,support line
1735,Windows 7 starter
1736,Windows 7
1737,KEYBOARD FUNCTION
1738,DVD drive
1739,Garageband
1740,microphone
1741,Linux
1742,security-prone OS
1743,performs
1744,memory
1745,hard drive space
1746,firewire cable system
1747,iBook
1748,shipment
1749,OS X
1750,quicklook
1751,features
1752,keyboard
1753,design
1754,colors
1755,screen
1756,mousepad
1757,browsing
1758,PhotoBooth
1759,program
1760,built-in camera
1761,software
1762,shipping
1763,Chrome
1764,prices
1765,price
1766,external dvd drive
1767,external drive
1768,PORTABILITY
1769,PROCESSING
1770,cooling pad
1771,Supplied software
1772,software
1773,Windows
1774,service
1775,Garageband
1776,apple applications
1777,bios
1778,bios
1779,extended warranty
1780,charging
1781,charge
1782,charge
1783,shipped
1784,Windows
1785,kernal
1786,display
1787,battery life
1788,quality
1789,hardrive
1790,use
1791,graphics
1792,screen
1793,upgraded memory
1794,applications
1795,running
1796,graphics
1797,use
1798,internet speed
1799,call center
1800,apps
1801,programs
1802,games
1803,cords
1804,screen
1805,screen
1806,OS
1807,fan
1808,edges
1809,edges
1810,carry
1811,screen
1812,size
1813,weight
1814,keyboard
1815,disc drive
1816,hard drive
1817,power supply
1818,display
1819,starts
1820,boot up
1821,Pages
1822,Keynotes
1823,hard drive
1824,mother board
1825,dvd drive
1826,hinge
1827,motherboard
1828,port
1829,plug
1830,key board
1831,trackpad
1832,power
1833,ease
1834,use
1835,Touchpad
1836,connection card
1837,warranty
1838,warranty
1839,4GB of RAM
1840,8GB of RAM
1841,game
1842,Browsing
1843,itunes
1844,price
1845,setup
1846,motherboard
1847,Toshiba customer services
1848,Quality Display
1849,performance
1850,quality
1851,battery life
1852,internet capabilities
1853,High definition quality
1854,Speakers
1855,Beast graphics
1856,set up
1857,wall charger
1858,battery
1859,Screen
1860,battery life
1861,windows vista system
1862,Function keys
1863,BIOS
1864,Vista
1865,Screen size
1866,push button
1867,lid
1868,Pentium 4
1869,1 GB ram
1870,Windows
1871,word processor
1872,interface device
1873,included program
1874,expese
1875,Microsoft Office apps
1876,internet use
1877,price
1878,quality
1879,games
1880,aero
1881,hard drive
1882,battery
1883,screen
1884,operation
1885,screen
1886,webcam
1887,Skype
1888,machined aluminum frame
1889,keyboard
1890,parallels type program
1891,software
1892,design
1893,ATI graphics card
1894,Intel built-in card
1895,games
1896,handle
1897,operate
1898,features
1899,speed
1900,power
1901,power supply cord
1902,Applecare warranty plan
1903,13 inch
1904,power supply
1905,screen
1906,use
1907,right speaker
1908,support
1909,Final Cut Pro
1910,runs
1911,Mac Snow Leopard O/S
1912,Win XP
1913,Visa
1914,Win7
1915,use
1916,Startup
1917,shutdown
1918,resume from sleep
1919,screen
1920,keyboard
1921,fit
1922,Windows
1923,processor
1924,graphics card
1925,size
1926,external keyboard
1927,mouse
1928,monitor
1929,windows 7 system
1930,weight
1931,size
1932,wheel
1933,service
1934,flatline keyboard
1935,Speakers
1936,windows 7
1937,ergonomics
1938,connections
1939,Applecare tech support
1940,power plug
1941,resolution on the screen
1942,programs
1943,iLife
1944,iWork
1945,gaming
1946,delivery
1947,value
1948,Internet Explorer
1949,AC power port
1950,running system
1951,programs
1952,power supply
1953,power supply
1954,force
1955,durability
1956,Vista Business
1957,surf the web
1958,size of the screen
1959,tote
1960,work
1961,use
1962,battery
1963,Win 7
1964,2GB stick of memory
1965,Norton
1966,internet
1967,command prompt
1968,software
1969,speed
1970,hard drive
1971,programming
1972,iPhoto
1973,Speakers
1974,RAM
1975,speakers
1976,memory
1977,Vista
1978,Battery life
1979,price
1980,battery
1981,charge
1982,charge
1983,warrenty
1984,hard drive
1985,Windows 7 Starter
1986,icon list
1987,desktop icons
1988,warranty
1989,price
1990,performance
1991,built
1992,look
1993,apple care
1994,use
1995,warranty
1996,work
1997,size
1998,keyboard
1999,functions
2000,mouse
2001,OS
2002,run
2003,screen
2004,delivery service
2005,performance
2006,picture quality
2007,use
2008,i3 processor
2009,fan
2010,battery
2011,charge
2012,charge
2013,mousepad
2014,keys
2015,casing
2016,operating system
2017,resolution of the screen
2018,touchpad
2019,battery life
2020,boot up
2021,charge
2022,OS
2023,screen brightness
2024,backlit keyboard
2025,look
2026,cost
2027,sound
2028,SATA controller
2029,motherboard chip
2030,CPU
2031,hard drive
2032,buttons
2033,battery life
2034,battery
2035,battery
2036,size
2037,weight
2038,portability
2039,battery life
2040,Windows Vista Home Premium
2041,1GB of RAM
2042,display
2043,brightness
2044,electronic fuzz sound
2045,headphone jack
2046,keyboard
2047,quality
2048,warranty
2049,power supply
2050,gaming
